,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127
miRNA_0,0.30559376,0.17808166,0.20815937,0.37667727,0.33870837,-0.3256052,0.016267423,0.23352848,0.19168104,-0.0195875,0.013196508,0.015739677,-0.08011748,-0.44782266,0.31811285,0.032227132,-0.18331827,0.0097820135,0.11321063,-0.24487248,0.24545978,0.19620503,-0.023970855,0.19748999,-0.30008653,0.1278226,0.005692721,-0.19353664,-0.36679736,0.20305681,-0.14569378,-0.17233829,-0.12896447,0.20276226,-0.07837486,-0.10494342,0.009869835,0.18607102,-0.110883944,0.2462806,0.05878352,0.08803719,-0.0096384855,-0.27406454,-0.2187842,-0.4878464,-0.4518244,0.031163454,-0.024168223,-0.26375192,0.21122743,-0.1336344,0.22703756,0.45617628,0.15562792,-0.02347623,-0.3583358,-0.10499078,-0.1896393,0.15884458,-0.13964021,0.14751,0.023835694,0.42151913,0.105048984,0.19137266,-0.14901139,0.0058662873,0.22011918,0.040620696,-0.12513644,0.1452158,0.16275059,-0.25302598,-0.14759928,0.0070220456,-0.121060364,0.11963192,-0.34081027,-0.20395139,0.035257,-0.043496635,0.34695968,-0.04106993,0.78809047,0.3322735,-0.2952627,-0.07409574,0.2077334,0.12135953,-0.18665065,0.089232445,-0.4247115,-0.47433442,0.3445348,0.38166896,-0.37027037,0.18028079,0.3064832,0.09781615,0.19123152,-0.1677993,0.049361352,0.050279118,0.15465772,0.15309766,0.33326256,-0.27445623,-0.17209594,-0.040505756,0.045600705,0.31258798,0.034262836,0.16030379,0.33940515,-0.18986607,-0.30847013,-0.24949934,-0.44031927,-0.086713225,0.22314864,-0.09150506,-0.111448884,-0.081816174,0.08955133,-0.15631284,-0.23647104,-0.21389402
miRNA_1,0.27242905,0.057767868,-0.3257058,-0.076503105,-0.03137745,-0.11126354,-0.10678575,-0.22002354,0.3593594,0.25192088,0.14065324,0.1333932,-0.23392484,-0.18863228,-0.10997159,0.24017918,-0.13674451,0.4750774,0.03782168,0.30239448,0.28311527,0.23186126,-0.30731943,0.2553061,-0.32747272,0.24119608,-0.24705511,0.16339368,0.1389494,-0.04520776,0.21590081,0.17846942,0.19601558,0.31530136,-0.1469708,-0.07773848,0.02354907,0.12548919,0.294369,-0.47098684,-0.3507764,0.22893368,-0.19595139,-0.053376887,0.29021055,-0.061633162,0.02097928,-0.09528827,0.16437101,-0.09490901,0.2048477,0.17618886,-0.30554354,-0.005808415,-0.1254038,-0.13978918,-0.31103414,-0.09242862,-0.12626353,-0.4496804,-0.29145488,-0.09487547,0.1818648,0.5298703,-0.3712813,0.17832048,0.23092715,-0.2431004,-0.06650006,0.08570884,0.21721658,0.06470211,0.14692271,-0.25675017,0.061278637,-0.015067877,0.39342248,-0.054265086,0.18592587,0.5685085,-0.1913937,0.5465278,-0.030410651,0.029760128,0.47650105,0.2423603,0.2891875,-0.26546395,-0.0482733,-0.008500452,0.051843505,0.23632197,0.049721535,-0.1202224,0.37314188,0.10088205,0.08575057,-0.029482234,0.14701943,-0.18042262,-0.27955723,0.09848284,0.2712346,-0.1497343,0.073371954,0.23660661,-0.014712019,0.09248625,0.2595052,-0.08656659,-0.018271884,0.10345324,0.019108163,-0.037320986,0.072731234,-0.069951944,0.028694049,-0.05697808,-0.17163508,0.05038778,-0.26072425,-0.24930684,0.20097044,0.20013452,-0.33210102,-0.13036655,0.047125634,-0.20806156
miRNA_2,0.29570085,-0.5358596,-0.35706243,0.30801508,0.040724874,-0.021733193,-0.0066767293,0.18135273,0.22456534,0.19558229,0.33645254,-0.0638673,-0.29996487,-0.29253793,0.17997406,0.24638326,0.04853404,0.0069802767,-0.2842455,0.16450961,0.26940644,0.22309284,-0.22617227,0.07618493,-0.20725596,0.26860288,-0.16530634,0.18635581,-0.23164849,-0.13360944,-0.087683134,0.09768678,0.115911946,-0.137388,0.1172476,0.074652106,-0.3699208,0.07674894,0.062287576,-0.084624074,0.18244655,0.36932665,0.01979249,-0.04332327,0.32513058,-0.3169086,-0.15516227,-0.119554535,0.10409725,0.18724744,0.238814,0.28472388,0.07224823,0.039752364,0.084438786,-0.16715592,0.050174616,-0.25087047,0.12829645,0.020749383,0.053343948,0.021009201,-0.21039627,0.23690824,0.045377426,0.17184949,0.21698919,-0.2979545,-0.044128086,0.07147462,-0.16332595,0.044731144,0.3722745,-0.32878754,0.0502987,0.042032324,0.012713403,-0.20090362,0.14104888,0.029660696,-0.17864618,-0.09203137,0.123743355,-0.13412178,0.06321008,0.20689714,0.19141307,-0.20921718,0.050911687,-0.12736467,-0.18933389,0.225392,0.03397541,-0.26046884,-0.14772561,-0.17354654,0.011410271,-0.05817169,-0.123600595,-0.168795,-0.41405135,0.0034336792,0.1554463,0.25035253,0.14691535,-0.45865616,0.12214665,-0.20059903,0.19583595,0.12260537,-0.15611993,-0.13206154,-0.06683789,0.112090364,0.21323279,-0.11178785,0.21493329,0.27362737,-0.14010747,0.32599026,-0.23088235,-0.037057247,0.37513566,-0.016108625,-0.16629142,-0.20381813,0.2617123,0.041392487
miRNA_3,0.26134434,-0.47234458,-0.40227723,0.33841544,0.05986949,-0.027155565,-0.011857538,0.1833904,0.23834923,0.22509031,0.35558936,-0.039217953,-0.31483,-0.2904696,0.18066554,0.35827377,0.03826489,0.06361467,-0.27514437,0.17896073,0.2540998,0.2312367,-0.20492324,0.04804312,-0.23096855,0.23944913,-0.1960694,0.21801466,-0.21195303,-0.05807234,-0.13047685,0.05570569,0.17182615,-0.09938589,0.05839387,0.124458194,-0.4435076,0.03073722,0.064220205,-0.042102113,0.1772057,0.36408117,-0.008701453,-0.040650304,0.30564785,-0.3297709,-0.17887256,-0.12405306,0.093677714,0.29271454,0.2271091,0.28053623,0.03579755,0.047436427,0.039374463,-0.165513,0.07484253,-0.21849774,0.097372234,-0.049078345,0.03674054,0.0023296818,-0.23350678,0.19031887,0.08974676,0.17649104,0.17567906,-0.20483074,0.0281984,0.061743163,-0.15859024,0.0066020093,0.31316578,-0.27787578,0.08147899,0.048094038,0.10463158,-0.17711218,0.17705321,0.0032622027,-0.16515382,-0.092681274,0.15293552,-0.14321974,0.061302528,0.20222874,0.15268369,-0.22452308,0.08259728,-0.08810116,-0.15710884,0.24224357,0.007932611,-0.29943565,-0.11749037,-0.16178949,0.011499369,-0.091224514,-0.09368238,-0.2065822,-0.40507028,0.00913111,0.13946852,0.21458109,0.1379378,-0.5207243,0.15259573,-0.21118136,0.22866899,0.11548774,-0.16529518,-0.15038444,-0.08057039,0.14167035,0.24318147,-0.13397533,0.19029652,0.25150982,-0.13435026,0.33124813,-0.19730085,0.025370514,0.3381272,-0.02797863,-0.1424541,-0.16180266,0.28802365,0.061372243
miRNA_4,0.117311954,-0.45780325,-0.35248712,0.3973636,-0.014949874,-0.040983163,0.0694545,0.08034634,0.32114866,0.17488982,0.3251779,0.00011321434,-0.29792807,-0.26388696,0.20241526,0.37595534,0.03174056,0.03149111,-0.25859034,0.2597448,0.304095,0.18055366,-0.10647788,0.09855201,-0.2958506,0.20323478,-0.2478773,0.26075798,-0.20990914,-0.065371074,-0.23231395,0.114600964,0.2128057,-0.09454733,0.12866998,0.10750069,-0.4866735,0.04861995,-0.021479502,0.051906142,0.1761656,0.44066507,0.06770044,-0.18584414,0.30268514,-0.38781917,-0.19305846,-0.2510518,0.13566224,0.17669578,0.28802553,0.31194675,0.063533,0.019356871,0.04171887,-0.20753898,0.028990075,-0.23124757,0.07514957,-0.0816059,0.053897496,-0.009622241,-0.25661612,0.18558568,-0.030389508,0.125016,0.06495581,-0.25387174,-0.014735594,0.07433896,-0.27190304,0.13786745,0.22067142,-0.2971581,-0.0251484,-0.027172122,-0.017805558,-0.14770412,0.16502152,-0.03827418,-0.1389115,-0.14768405,0.06039316,-0.15988466,0.014758965,0.19893083,0.04295163,-0.19266543,-0.072240286,-0.09350177,-0.083844416,0.18189281,-0.055462044,-0.30494496,-0.114950456,-0.16431116,0.06016359,-0.02017004,-0.06775568,-0.24277622,-0.43056527,0.04775012,0.24089411,0.1872832,0.06733481,-0.49261,0.049073722,-0.13799143,0.14644772,0.0939299,-0.075692646,-0.11964012,-0.18333307,0.111342214,0.21941106,-0.09976002,0.32500815,0.17395557,-0.17125769,0.38697323,-0.16271596,-0.07087568,0.28931007,-0.014543238,-0.10414776,-0.17157264,0.2764354,0.066657975
miRNA_5,0.25694752,-0.13726334,-0.2996815,-0.05629553,0.021345442,0.11120895,0.07124705,0.1905137,0.24164824,0.06909136,0.44026682,-0.10969777,-0.082346104,0.034322385,0.35100526,-0.07758569,-0.14682579,-0.08628652,-0.24939357,0.12004194,0.38320002,-0.1254597,-0.53927535,0.1110384,0.012707906,-0.0070442474,0.0153527735,-0.16376464,-0.12293632,0.047505733,-0.2636516,-0.051385026,0.25907287,0.06956087,-0.3418255,-0.07894774,0.082934864,0.04212443,0.20286041,-0.3025544,0.39709824,0.32785496,-0.13942948,0.13617618,0.07452187,-0.17836563,-0.006883185,0.056222998,0.30006158,0.15434885,0.38727638,-0.08516004,-0.087804206,-0.3622019,0.35160962,-0.53352123,0.11943149,-0.2007234,0.22925298,0.100851566,-0.44389042,-0.24462503,-0.014738835,-0.062157005,0.23030218,-0.056781676,0.24643359,-0.003546997,0.22751053,-0.15289745,-0.32354662,-0.3081235,-0.0021728526,-0.052170973,-0.06800766,-0.35676548,-0.09501955,-0.2188216,-0.042351473,0.0009381337,-0.31308788,0.07357502,0.19419642,0.2563314,0.057641786,0.011991081,0.301685,-0.00014029496,-0.080920234,0.10930291,-0.33963242,0.1086113,-0.028040376,-0.17265417,0.20528442,0.30982015,-0.18256998,-0.14985372,-0.20159201,-0.35300732,-0.27388665,0.30561253,-0.11900371,-0.43830597,0.3627782,0.011209111,0.18354656,0.18324076,0.043924198,0.34666252,0.07909839,0.2738399,-0.071057364,0.046312917,0.10109148,-0.091116674,0.08585917,-0.012442197,-0.034026444,-0.29595116,-0.37288868,0.01629709,-0.0850483,-0.03040535,-0.08943633,0.13873623,-0.0836231,-0.04247401
miRNA_6,0.21829954,-0.1644427,-0.3121562,0.08535893,-0.0388797,-0.11885799,0.057057895,-0.08338304,0.07874811,0.11542174,0.109301195,-0.041283153,-0.48468214,-0.114748634,0.12023475,0.13491784,-0.2024901,-0.17421766,-0.097789146,0.039823312,0.38771355,0.11805609,-0.32167643,0.13088773,-0.08232653,0.27593374,0.12949295,0.08385057,0.004077725,0.07476309,-0.036340386,0.021400116,-0.08130242,-0.028193532,-0.21148688,0.39708883,-0.24276225,-0.4712522,-0.10366475,-0.20624821,0.25167343,0.2648787,0.008408002,-0.103642866,0.2183469,0.16761608,-0.10272661,-0.047789365,0.3615783,-0.14130323,0.34129107,0.197593,-0.16536085,0.17001708,0.2071758,-0.06906254,0.32100123,-0.48173514,0.090506226,0.12305995,0.013248351,-0.2501282,-0.13756277,0.19459043,0.39239517,-0.057722673,0.024379427,-0.30363256,0.20643951,0.22188993,0.020276502,-0.10848586,0.03083989,-0.23229975,-0.060062647,-0.14408188,0.06758688,-0.13632695,-0.22258385,0.0115263285,-0.5750417,-0.344711,-0.052936994,0.25587592,-0.008501502,0.1492801,0.29972026,-0.19870266,-0.37108707,-0.45544186,-0.13663831,-0.26532945,-0.14788735,-0.57903844,-0.26239443,0.12264373,-0.009326372,-0.013189993,-0.31766513,-0.1250432,-0.17943004,-0.053272408,0.046083055,-0.26725996,-0.012612756,0.11370242,-0.13889965,-0.041422624,0.22127946,0.25660163,-0.03997978,0.3255053,0.063023776,-0.09841613,0.09595631,-0.042418294,-0.06897239,0.1423702,-0.31006452,0.3479489,-0.12553175,-0.112961054,0.15718424,-0.07168708,0.2596198,-0.36300182,0.42517895,-0.10309018
miRNA_7,-0.31161305,-0.23229428,-0.09732523,-0.09358514,-0.2549765,0.19715618,0.33756313,0.226817,0.027360959,-0.053414155,0.37137693,-0.16485773,-0.23302601,-0.069948666,0.15178747,0.1826009,-0.3681158,0.039814048,-0.026000168,0.15724756,0.15918973,-0.078405075,-0.28363323,-0.020807173,-0.205448,-0.0113736065,0.011810002,0.08737714,-0.13358626,-0.19125836,-0.38043508,0.24964724,0.5164145,0.47863245,-0.13891953,-0.010478984,-0.07106809,-0.14185289,-0.13074757,-0.23280951,0.5238532,0.13401912,-0.18519098,-0.2829666,0.2926427,-0.43939266,-0.22986624,0.06670038,0.21934201,-0.11592833,-0.0916479,0.16400854,-0.24447906,-0.012901759,0.20873435,-0.34687966,-0.09449025,-0.53118205,-0.2939013,0.0068458,-0.28087246,-0.0645709,-0.118464015,0.1461529,0.06357005,-0.061298087,0.44897494,-0.38063323,-0.025054682,-0.04695927,0.086699,0.1051944,-0.15018201,-0.29564524,-0.25531334,0.07558554,-0.06685797,0.12013056,-0.035182465,-0.29430354,-0.07308411,0.09910769,0.22656783,0.2886169,0.0034513765,0.026863763,-0.009996097,-0.23749997,-0.39249086,-0.26372084,0.03940135,-0.08466284,0.2241453,-0.21649972,0.3316839,0.093375914,0.08008657,0.08979821,-0.36080667,-0.47475103,-0.011771373,0.2403999,-0.0023773175,-0.014188548,-0.1498479,-0.2038188,0.058271583,-0.12228396,-0.037503682,0.03593885,-0.17013195,-0.31180173,-0.13967666,0.24224581,0.22823335,0.05504392,0.10695865,0.24060754,0.12447674,0.31212154,-0.13967037,-0.27944613,0.18938325,0.060744945,-0.26597157,-0.005050628,0.25712132,0.089647435
miRNA_8,0.3276035,-0.2397011,-0.037740283,0.037176467,-0.05992039,-0.377153,-0.012375222,0.45865333,0.29042694,0.25975206,-0.12366554,-0.32187152,0.00069831806,0.1502341,0.4487179,0.40843785,0.05565941,0.17685701,0.045689046,0.08934923,-0.10689971,-0.10980196,-0.43385205,0.015485325,-0.35641333,0.0923272,0.21670224,-0.053662833,-0.014549686,-0.13882306,-0.41066805,0.026182106,-0.031142185,0.15831594,0.0023308217,-0.14323108,-0.38121742,-0.21411537,0.19479863,-0.047333784,0.03895829,0.13151294,0.1439059,0.19276874,0.42370814,-0.18953623,-0.13491051,0.163077,0.10357238,0.2879047,0.18386789,0.20491324,-0.42455116,-0.17603002,0.26443973,0.016303219,-0.08221522,-0.65683097,0.02108585,-0.30198863,-0.26472196,-0.29149488,-0.13836208,-0.19197111,0.20890303,0.29217628,0.17738193,-0.06285895,0.049782436,0.019604428,-0.21323876,-0.18634571,-0.091177315,-0.36128935,-0.04860166,-0.5190493,-0.09633265,-0.13440345,0.1585833,0.23931797,-0.44589153,0.26259553,0.253047,0.060374975,0.09443833,0.18932611,-0.15490855,-0.035608165,-0.3461751,-0.18556651,-0.45217484,0.16821744,-0.13955735,-0.061218437,0.278192,-0.23696183,0.24680775,-0.05047988,0.16090587,-0.03391786,-0.2553004,0.06760761,-0.0814505,0.16068022,0.13293807,-0.3596892,0.117019035,-0.06516726,-0.032622423,0.37667355,-0.19611952,0.08723984,-0.055129115,0.23116331,0.21361691,-0.089539394,-0.19116542,-0.063533574,-0.01883466,0.16342647,-0.03581941,-0.15122822,0.30864325,-0.43461305,-0.0718358,-0.048896115,-0.017077701,0.083450764
miRNA_9,-0.0047265254,0.121712476,0.1498764,0.23764768,-0.22419909,0.5163173,0.16977906,0.012755848,-0.24320774,0.20264481,0.23859327,-0.42003015,0.21433161,-0.6595225,0.11356223,0.22479722,0.22578198,0.07146685,-0.060963843,0.21296738,0.26504168,0.054723766,-0.27504075,0.010613725,0.067350686,0.13338464,-0.33750236,0.11549111,-0.07528075,-0.32410556,-0.19566959,0.21211769,0.34208718,-0.1430223,-0.17731205,0.102550976,0.3458433,-0.386794,0.2957743,-0.11864337,0.06319018,0.07982191,-0.02561195,0.08436277,0.2935641,-0.5329895,-0.16643721,0.09314759,0.2944178,-0.08132858,-0.14513335,-0.3192832,-0.16330793,-0.1846134,0.30382034,-0.15743421,0.25895426,-0.14311944,-0.19084279,0.023411117,-0.28139398,-0.3741808,0.048295744,-0.15084831,0.04994547,-0.4370327,0.26309812,0.07756294,-0.039309308,-0.1518979,0.05602744,-0.1854583,-0.14149615,-0.31513795,-0.05851159,-0.31998855,-0.21227273,0.05522817,-0.1415615,0.19647892,-0.20547353,0.39265832,0.19759408,0.08747631,0.1524714,0.07083776,0.38880312,-0.34246615,0.0029940563,-0.41482803,0.012475867,-0.13202098,-0.11845819,-0.13492873,0.3589934,0.1119879,-0.23840882,-0.1384149,-0.17507502,-0.47104105,-0.18616949,-0.084507756,-0.14488237,-0.6009244,0.25448516,0.12500235,-0.2825619,0.27862608,0.11003971,0.12250667,-0.343558,0.1895262,-0.086473875,-0.046839055,0.004389949,0.17058736,-0.18353106,0.045911793,0.064674236,-0.042462923,-0.005093952,-0.22292122,0.1512872,0.1021313,0.0050880983,-0.011453258,0.16282204,0.42634377
