,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127
miRNA_0,-0.0032586958,-0.0066848136,-0.0022735316,-0.0022800695,0.0058093853,-1.3282523e-05,0.0065333582,0.0072878115,0.0067139063,-0.0064920634,-0.006805787,0.0055475216,0.0074729454,0.0075237695,-0.005162064,-0.0074256156,-0.0015954897,0.0051717963,-0.0022930838,0.0054341424,0.0021476932,0.005201569,-0.005807832,-0.0058195684,-0.0039367415,-0.006379418,0.0044492837,0.0041023605,-0.007094059,0.005727768,0.0012534875,0.0064444784,-0.0014616903,0.0041901916,-0.0035849214,-0.0029395092,0.0077488367,0.0020996109,0.0053176843,0.004727153,0.0052983183,-0.007087078,0.0026774984,0.000795288,6.8316236e-05,-0.0023111608,-0.002021134,0.006479807,0.0036023017,0.0069128424,0.007502027,0.0023739655,-0.00456216,0.0072169825,-0.0070125684,-0.002394218,-0.0016640611,-0.00044976734,-0.0022247024,0.0073651653,0.005883932,0.006097924,0.0012194682,0.0048218127,0.0014434755,-0.002506096,0.00154428,0.007264305,0.0028216317,-0.002491936,-0.0027898792,0.006425293,-0.0022397637,-0.006159777,0.006828947,-0.004027903,0.0038241409,0.006421067,0.001631923,0.002360994,0.0019678771,-0.005611783,-0.0074273776,0.004969774,-0.0027616527,0.006343361,0.00166554,0.005057946,0.0078104064,0.0024268404,0.0052434057,-0.0072153583,-0.004361678,0.005852433,-0.003596915,-0.0015675873,-0.0038014147,0.0007879995,0.002226336,0.004683487,0.0041174702,-0.0028553084,-0.005728081,0.0018911455,0.0049779583,-0.002302194,-0.004832035,-0.004239071,-0.004844118,-0.0017762035,0.0074101277,0.0023162346,0.0049049444,-0.0031206235,0.00096957013,0.00053149834,-0.0073177572,-0.007617578,-0.0032449774,0.007776439,-0.006413849,0.0014811996,0.0032667574,0.0057296623,0.0075570047,0.000520993,-0.00038906746,-0.0027920622
miRNA_1,-0.001841977,-0.025217554,-0.19405773,-0.31134078,0.08958246,-0.2787834,0.84011346,-0.013553545,0.13368882,-0.14648598,0.08098032,-0.1481437,0.14399175,-0.20085314,-0.17870703,0.035717815,0.06352527,0.01309723,-0.5501183,0.002577687,-0.2513316,-0.03407822,0.014345137,0.22044161,-0.12743403,-0.32034045,-0.17294788,0.3960216,0.33314303,-0.37327713,0.114425555,-0.014393001,-0.028600644,0.062564164,-0.24563943,-0.024290362,0.048768725,0.5804295,-0.38132176,0.083923,0.13478662,0.44410357,0.5536198,-0.18041542,0.51090926,-0.38915172,0.21830852,-0.09745816,0.42132702,-0.13792884,-0.38235,0.14585902,-0.51157534,0.13842048,-0.06504157,0.3684589,-0.42871714,-0.44844976,0.03524047,0.046513703,0.5360955,0.3216123,-0.16448656,-0.40174922,0.17917022,-0.2138698,-0.117912486,0.044601567,0.17723617,-0.16325766,0.28839448,-0.34189886,0.059040926,-0.46835974,-0.10695604,0.0753643,-0.07723483,0.0532313,-0.0939158,-0.041983712,-0.17056178,-0.2570003,-0.071228296,0.2128718,-0.37068647,-0.034008242,0.20272703,-0.038721744,-0.25381967,0.035176132,0.06852788,0.046411745,-0.24736814,-0.3547572,0.18637986,0.09485721,0.11928117,0.05399917,-0.006954721,-0.13919267,-0.11842793,-0.0552466,-0.060302652,0.17664212,0.59831536,0.40681276,0.07705989,0.11919812,-0.19007215,0.11297345,-0.17669982,0.2921795,0.03660319,-0.20467894,-0.01695663,-0.25391927,0.73097587,-0.14681353,-0.106908135,0.19312437,0.060576893,-0.041133363,-0.21988304,-0.34156054,-0.13480674,0.01306293,-0.009266565,0.33416697
miRNA_2,0.0032820012,0.006110085,0.003981782,-0.00310334,0.006440403,0.0009626113,0.0049260445,-0.0048743133,0.00024447963,0.004986437,0.005770756,0.0063720103,0.0014457759,0.000534907,-0.0045674257,0.00020063482,-0.0046857838,0.00078912824,0.00660366,-0.00032054074,-0.007140469,0.0058687907,0.006447306,0.007283848,-0.0014437847,-0.0022720993,-0.0042924657,-0.0072833505,-0.004310541,0.004907448,-0.0076553933,-0.006347047,0.00674545,-0.0010056999,0.00239373,-0.0044557415,-0.0006916467,-0.0027377568,0.004107043,0.007096002,-0.005204467,0.0072831623,-0.004840784,-0.0038454868,-0.0060567856,-0.0030355398,0.0043052286,0.0068013202,-0.0036420375,0.0024720877,-0.0065203737,0.0024212357,0.0029375441,0.0012103599,-0.005763015,-0.0031621642,-0.0019889418,-0.0025950503,0.0074919406,-0.00060083345,-0.0066880174,-0.0015051719,-0.0009903703,0.0009470228,-0.0005943775,0.006484501,-0.0009972509,0.002258269,-0.0071912985,0.002897244,-0.0050277505,0.0060857665,0.0023608822,-0.005418215,-0.0058817957,-0.0038487762,0.0073789638,0.0041071903,0.0063656494,-0.0033715665,-0.0004255101,0.00210662,0.001275098,-0.0048802085,0.0075223967,0.0019313302,0.0045841187,0.0037226193,0.00038645603,-0.0060438327,0.005161157,0.0070937052,0.0042226445,0.0031456463,-0.0061155017,0.005497949,0.0008368213,0.0005202014,0.006739242,0.001191847,-0.00029378943,0.0017460249,-0.004750965,0.0067621917,-0.0021825526,0.0041387994,-0.0070301276,0.00012521073,0.0066168774,-0.0030723326,0.006662054,0.0075219646,-0.006495284,-0.0046296846,-0.0074927732,-0.004661858,-0.0013767034,-0.0065350365,0.0021163523,-0.0010538716,-0.003095068,-0.0020465534,-0.0019045174,0.007233184,-0.002068067,-0.0045197774,0.006239174,0.0016348567
miRNA_3,0.00073252246,0.0012212228,0.005069662,0.0068812706,-0.0028226413,0.005662171,0.0018268395,0.004249951,0.005376516,0.0025776345,0.00358757,0.0064553823,0.0040005334,0.00381816,0.0037673078,0.0010320172,-0.004720269,0.0066877063,0.0023174677,0.002291372,-0.0019303709,-0.0070730764,0.0071936324,0.0033768676,-0.005523687,-0.0045401305,-0.00014067441,-0.00519388,0.006420376,0.003567934,-0.0047937576,0.003440136,-0.0031517092,-0.0075159557,-0.0006555859,-0.0028789006,0.0072670784,-0.0037546474,0.0019112974,-0.0026420392,-0.0016062222,-0.0075486284,-0.0068647712,0.0005711634,-0.00026285462,-0.0039765667,-0.003948929,-0.0054203346,-0.004418811,0.005757889,-0.00585684,-0.005428899,-0.0068095364,-0.004862182,-0.006348001,-0.0026518423,0.005354576,-0.0050182343,-0.00060058385,0.0015777629,-0.006388273,-0.0015787017,0.0020644888,-0.0045562573,0.00395355,0.0032408405,0.000103918836,0.0070323274,-0.005064955,-0.004946884,0.005913563,0.007681139,-0.007087525,0.00015007332,0.0058439597,0.006752258,-0.006577458,-0.0013533086,0.0025819317,0.0055962317,0.0051590484,-0.005865004,-0.0016290415,-0.0006871708,-0.0040820744,-0.004430754,0.0028968994,-0.0049145333,0.002086388,-0.002542954,0.006667966,0.00780195,-0.00034469366,0.006932333,-0.0015479475,-0.0051337853,0.001417974,0.004272394,0.0068349782,-0.0005888082,0.003345415,-0.0032362174,-0.003775211,0.0071841124,-0.004131427,0.0066781677,0.0019574333,0.0015621372,0.003718743,-0.0016695671,-0.0005103145,-0.004104983,-0.0074482094,-0.007134484,0.0023892783,-0.0043291897,-0.0022786092,-0.005799884,-0.0056993924,0.0038946401,0.0027933903,0.0069069955,0.0068200715,-0.00542547,-0.0035784543,0.0029262938,-0.004765054,-0.0055233743
miRNA_4,-0.00037236698,0.006075587,0.0012633111,-0.002676608,0.005869871,0.000668915,0.00026043877,0.0057048555,0.0013107639,-0.0030414332,0.006536249,-0.003301883,-0.0053045247,-0.0069186743,0.004231207,-0.0028393976,-0.007791158,-0.005350517,0.0051568337,0.0027610213,0.0051710233,5.6879595e-05,0.005317716,0.0023087785,0.003968941,-0.0039690137,0.0042686276,0.0045633446,-0.0016662311,-0.0076377187,-0.007214956,0.0036719795,-0.006065542,-0.0038708374,0.006106848,-0.0007696897,0.0065454654,0.0008191336,-0.005212011,0.0048257783,-0.003150301,0.0071156044,-0.0053751245,-0.0007795617,0.004869351,0.0077276994,0.0064110067,-0.007523272,-0.003968274,-0.004672589,-0.0065994225,0.004143646,-0.006921446,0.0021686926,0.0031091068,0.007163387,-0.003485078,0.006917687,0.0014146622,-0.004204683,-0.0038052723,-0.0005859565,0.002531251,0.0018201489,0.0042033102,0.0009438731,-0.0041276924,-0.0051764753,2.7203932e-05,-0.0048170555,0.0020309947,-0.00053740665,0.004003942,-0.0022822376,0.0064310078,-0.0034345463,0.0011211764,-0.004546907,-0.0034488179,-0.005793562,-0.004774848,0.0025661904,0.0018846337,0.0040254816,0.0019744225,-0.0026138797,0.0015262142,0.002282016,0.0035342574,0.0004061889,-0.00047026202,0.006794004,-0.0035176612,0.0071420167,0.001690885,-0.00027042627,-0.006526148,-0.002837658,0.0025954824,0.003977146,-0.0027218629,0.006427331,0.006015502,0.0062768105,0.006895868,-0.0053170323,-0.004012946,0.004768269,-0.0061720777,-0.0046577603,-0.00065437704,-0.000146579,-0.005857775,0.0039336756,0.0061466433,0.002632318,0.0055719987,-0.0045403447,0.0026494358,0.0058086403,-0.0068118162,-0.007314777,0.0039294604,0.006883001,0.0072251596,-0.005106196,-0.00044773333,0.004052017
miRNA_5,0.3386013,0.06638001,-0.51976544,-0.570556,0.45908394,-0.41112733,0.33610466,0.0767064,-0.12860794,-0.38082963,0.15443332,-0.08997544,0.20503542,-0.37739173,-0.093483284,0.11710607,0.20964693,-0.048874803,0.18144192,-0.32151878,-0.2762661,0.07817608,0.014519071,0.034176763,0.13027556,-0.4429919,-0.3103775,0.64699966,0.077004515,-0.07941318,-0.24983741,-0.17234091,0.2596518,-0.04228892,0.04752485,0.032550283,-0.0026210353,0.12897928,-0.42650387,-0.19082615,0.17071088,0.059751928,-0.20519437,-0.051505487,0.20768292,-0.25161296,0.30764225,-0.061420545,0.3833525,-0.3515557,0.121605136,0.19600493,-0.5499017,0.041429754,-0.48747975,-0.36558223,-0.018774815,0.34175587,-0.1105547,-0.2649783,0.05001475,0.28591174,0.15238124,-0.4502246,-0.053688623,0.0068860617,0.36891946,-0.25172856,0.15971524,-0.05575243,0.093122564,-0.26062036,0.3120121,-0.262631,-0.057723314,0.34596694,0.5267266,0.004505149,-0.12386978,0.017555218,-0.4099573,-0.5471056,0.071082786,0.28038675,-0.084942855,-0.30203328,0.18655016,-0.18204328,-0.53080493,0.25262818,-0.030891608,-0.33793756,-0.23329593,-0.15401186,0.21584935,0.3505652,0.45573092,0.017401958,0.039495453,-0.103028946,-0.3947221,0.06770653,-0.05053594,0.16260052,0.052506365,0.12669925,-0.3018625,0.32762954,-0.19852015,0.09771888,-0.4494822,-0.4222852,0.37768438,-0.05890657,0.44086343,-0.4841211,0.7700188,-0.15845126,-0.3642627,0.10939603,0.10019423,0.011561941,0.24892274,0.044394564,-0.046253633,0.34853566,0.17885303,0.053948425
miRNA_6,0.17169619,-0.27824745,-0.46717075,-0.25496802,0.17965138,-0.31062698,0.044919334,-0.072424464,-0.22225204,0.23893721,0.1571906,0.08685193,-0.016397173,0.12621133,0.010637226,0.32522774,0.3025847,0.3355171,-0.21985956,0.2881519,-0.22696781,0.03433963,-0.037297748,0.36094093,0.043200374,-0.20763175,-0.2220007,0.3448182,0.59931463,-0.7848486,-0.18187855,-0.050888333,-0.016218081,-0.39743814,-0.44401336,0.14805694,0.17772637,0.32144374,-0.24141096,-0.06426393,0.02275066,0.0827904,0.2615651,-0.3238917,0.2740176,-0.018192988,-0.022598764,-0.45258266,0.42365035,-0.33267322,-0.35728055,0.059999716,0.025918603,-0.029198376,-0.19943634,0.043242007,-0.2174649,-0.18862584,0.36287725,0.089504935,0.19285323,0.22115676,0.2564537,-0.5088953,0.19915944,-0.2765166,0.16247304,0.22450711,0.08758222,-0.13115638,0.7243882,-0.1676816,0.7820105,-0.73129684,0.57571733,0.41261446,0.19562033,-0.0026559366,0.18764101,0.052716915,-0.10978978,0.15886168,-0.05953256,-0.3739159,-0.05223686,0.015757594,-0.16449822,-0.34515285,-0.37044322,-0.30078724,0.42817613,-0.03248035,-0.3375602,-0.1247351,-0.40505493,-0.15377752,-0.037877403,0.14760765,-0.03453651,0.28993902,-0.09181612,0.14576,-0.076227546,0.24820253,0.40910947,-0.08451039,0.27037972,-0.0104204565,-0.30159128,0.00917808,0.05052331,-0.47935292,0.07519824,-0.07348567,0.3413485,-0.43241775,0.7006045,-0.13832092,-0.4018869,-0.2811916,0.042038288,0.08240363,-0.1258856,-0.313238,-0.10071381,-0.30651367,0.31568453,0.15539822
miRNA_7,0.15072148,-0.07520866,-0.45898026,-0.35163563,0.11846389,-0.5284123,0.31944495,-0.3887335,-0.017182173,-0.0014954442,0.4283252,0.39966935,0.114629485,-0.24509883,-0.12055143,0.30024764,-0.026954634,0.017088072,-0.13153386,0.08011638,-0.25723717,-0.0044369544,-0.021686224,0.13804722,-0.11913579,-0.10693108,-0.53414273,-0.15894857,0.66324997,0.35297567,0.17279974,0.5177275,0.23060346,-0.38373765,-0.3183838,0.19816051,0.1671121,0.56973934,0.31255773,-0.20389572,0.3706131,0.43471637,0.28842667,-0.44572335,0.84347594,-0.0921387,-0.051189918,-0.8602687,0.4023832,-0.74175686,-0.24831489,-0.4178553,-0.14719257,-0.45992535,0.18099621,0.3663345,0.0073761903,0.5056238,-0.45616868,0.43043965,0.030177807,-0.10635714,0.20491612,-0.33038676,-0.047885645,-0.20403098,0.3567379,-0.022204882,-0.08410179,0.00776347,0.45271713,-0.3527035,0.17313786,-0.7404826,-0.11891754,0.5238589,0.41897154,0.030982925,-0.19198418,0.31037816,-0.1270771,0.22150788,-0.12852676,-0.34572443,-0.32071632,-0.12051704,-0.3571884,-0.21130961,-0.13882218,-0.5504897,0.5771061,0.0015237993,-0.13912454,-0.40516347,0.2675756,0.2437306,0.3541765,0.30034596,-0.18916643,0.01849901,-0.19118473,0.1567681,0.13986924,0.12872516,0.5516798,-0.0034210389,-0.36634025,0.15213646,-0.6898277,0.33851337,-0.49792355,-0.21636233,-0.24429016,-0.19268176,0.3091801,-0.25710893,0.73367643,0.03115087,-0.60940206,0.23211446,0.14438392,0.3325738,0.3784941,-0.17882675,-0.14621074,0.29108858,0.119462796,0.15271242
miRNA_8,0.07044133,-0.1656701,-0.3266787,-0.49388626,0.3683644,-0.43699777,0.59018093,-0.24254215,-0.3616458,-0.21245593,0.23851019,-0.19764553,-0.045816112,-0.39166573,0.38473698,0.5313421,0.13884695,0.23947947,-0.1817824,-0.010672982,-0.14890602,0.1678578,-0.42440736,0.27979138,-0.104271114,-0.29408047,-0.43038684,-0.1749585,0.5140215,0.17834364,0.24414304,-0.022983542,0.14423472,-0.014288448,0.24200076,0.29648647,0.58246875,0.09353793,-0.23651722,-0.09304278,0.2322834,0.09390672,0.32922456,-0.37408128,-0.06579375,-0.2617334,-0.30432793,0.18516135,0.69875604,-0.05933291,0.16736943,-0.3604594,-0.31119713,-0.15698788,-0.041587025,-0.003255536,-0.44803756,-0.016535576,-0.5819717,0.024361178,0.30757427,-0.17120437,-0.11842441,0.00370514,0.0039127325,-0.1304592,0.24667613,-0.19292119,0.17751268,-0.13981226,0.78328395,-0.22522257,0.6161971,-0.59418494,-0.0074562207,0.28513545,-0.06880102,0.1416677,0.009604479,-0.352004,-0.069116876,0.017651968,0.13616009,-0.1298555,0.09156643,-0.16518152,0.39390165,-0.054485038,-0.30170497,-0.39036414,0.23325475,0.28060812,-0.121390544,-0.092214264,-0.2073031,0.6287796,0.17185825,0.090632275,-0.42072734,0.1166757,-0.3489757,-0.27081,0.026462128,-0.16349748,0.49370226,-0.20535278,-0.0030901683,0.010513657,-0.12140943,0.2830416,0.22047763,-0.07823501,0.2807035,-0.06581054,-0.12687974,-0.49810815,0.51855236,0.16700679,-0.59073895,0.27275577,-0.2018435,0.18139711,0.23944618,0.15162805,-0.18872859,-0.082515836,0.03984109,-0.113581546
miRNA_9,-0.039050113,-0.2503062,-0.81146926,-0.42124707,0.58557886,-0.35542786,0.1099144,-0.35047954,-0.21423103,0.28721812,0.21788593,0.082527615,-0.03451478,-0.25852072,-0.42527643,0.08366686,0.31078365,0.31280386,0.19005767,0.37842852,-0.6028761,0.3497925,-0.81927705,0.3062665,-0.11102192,-0.6149593,-0.35461545,-0.021474838,0.2745833,0.039895684,-0.22456783,0.29332396,0.15502957,-0.5242266,0.015590761,0.3622199,0.44602498,0.48100758,0.08621401,-0.7780158,-0.3458016,0.6424604,0.18074335,-0.2050316,0.1676855,-0.71594286,0.107064895,-0.14300008,0.495227,-0.36369655,-0.10330907,-0.5690461,-0.22601078,0.047078352,-0.17723949,0.14890279,-0.2169033,-0.11556766,-0.2430396,0.30058852,0.24958944,0.59478235,-0.30361634,-0.47378057,0.32389623,-0.15628627,0.07940215,-0.14214726,0.12103048,0.11627006,1.0249326,-0.3166771,0.72381705,-0.17918718,0.5466581,-0.2083618,0.008547932,0.095139034,0.24857526,-0.034504585,-0.59738326,0.015161347,0.09593687,0.322253,0.1054296,-0.39373404,-0.52353805,-0.4963335,0.063150086,-0.5557549,0.23823352,-0.07732581,-0.13970572,-0.29578745,-0.20733741,0.31491077,0.015488357,0.020722894,-0.4996536,0.21310599,-0.32940415,0.011948118,0.10239815,-0.22113779,-0.1388831,0.2624542,-0.16162685,-0.24844603,-0.21916372,0.3390049,0.3200498,-0.12353617,-0.15418532,0.22647925,0.1332502,-0.3065224,0.5150321,-0.08876589,-0.06516053,0.25827676,-0.26938692,0.22671765,0.10448598,-0.029121887,0.47611442,0.20225611,0.14017312,-0.5432435
