,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100,Dimension_101,Dimension_102,Dimension_103,Dimension_104,Dimension_105,Dimension_106,Dimension_107,Dimension_108,Dimension_109,Dimension_110,Dimension_111,Dimension_112,Dimension_113,Dimension_114,Dimension_115,Dimension_116,Dimension_117,Dimension_118,Dimension_119,Dimension_120,Dimension_121,Dimension_122,Dimension_123,Dimension_124,Dimension_125,Dimension_126,Dimension_127
miRNA_0,0.0012636818,0.00047507696,-0.006653156,-0.0016174521,-0.005579902,0.0011814367,0.002941925,0.0054988153,-0.007181648,0.00040661916,-0.0039469823,0.0015453789,-0.0073564146,0.005888732,0.00071778893,0.0073045883,-0.0033442862,-0.0060014743,0.0036552902,-0.0054046623,-0.004807161,-0.0064041484,-0.0058179274,0.00031076185,-0.0050782226,0.00065699965,-0.006205367,0.00696983,-0.00033621117,-0.005095046,-0.0068083797,-0.0074273273,0.001507746,0.0018298775,-0.003720209,-0.00049299374,0.005288705,0.0041547697,0.005040938,-0.001757428,0.005615268,0.0028235037,-0.0066426285,-0.0059780013,-0.006171327,-0.0001632031,-0.001846496,0.003350405,0.006296253,0.0024714042,0.0017279331,-0.0035854764,0.0036092568,-0.0040299445,0.0065034237,-0.0025625154,0.004188208,-0.0073433835,-0.004425831,0.00048611313,-0.0077222195,0.00466956,-0.0043803807,0.0027213637,0.002418911,0.0047262255,-0.0001992397,-0.007297635,0.0010749232,-0.0036374126,-0.0008889511,0.0015792418,0.0024385806,0.0074798297,0.0013373941,0.00022527575,-0.005604744,0.0042113382,0.0013855137,-0.007184228,-0.0013721474,0.0076685324,-0.003693726,-0.00513079,0.0007989537,-0.0026797839,-0.0071637426,-0.0021466631,0.0042429045,-0.005650403,0.0006092433,0.0052068513,0.0008383766,-0.0069564767,-0.0067233033,-0.004351666,-0.00707251,-0.000535788,-0.0076287426,-0.0072656143,0.005962547,-0.004494371,-0.0070860796,-0.004726682,0.0050313454,0.0062885173,0.0056544673,-0.002936475,0.0019596834,0.0013924111,0.005393779,-0.00073385425,0.0037198234,0.0062490087,0.0005664788,0.0023540948,-0.0021574832,-0.0017530266,0.0030396432,0.00050195865,-0.0011480749,-0.0042976607,-0.004180772,0.002804501,0.0057240706,0.003244983,0.0077482183,0.0013175048
miRNA_1,0.0058659054,0.005551871,0.007582873,0.005135471,0.0059246738,-0.0013296381,-0.0005375929,0.007804608,0.0018138662,0.004566228,0.0073591117,-0.0028118324,-0.0007782094,0.0018882286,-0.0022606533,0.0070950836,-0.006897377,-0.005705677,0.003954444,0.00053659827,-0.0052154735,-0.0050578713,-0.005494673,0.00096143596,-0.0021726936,0.0020956602,-0.006627394,0.0003088899,0.0065853,-0.0012565237,0.0014521778,0.003588846,0.00051616505,-0.0025665928,0.007018253,0.00077548996,1.3913959e-05,-0.003388688,0.0012650117,-0.006580202,-0.000334166,0.0067579225,-0.0043464694,3.2648444e-05,-0.0035629943,-0.0007880535,0.0071667247,-0.0025582258,0.0054402407,0.003223585,0.0036752764,-0.0025941227,0.0012321416,-0.0025146436,-0.004038986,0.007369453,-0.0066130348,-0.0021709558,-0.0018264074,0.0063700285,1.22748315e-05,0.0070503894,0.0010632649,0.00015193038,0.00056070276,-0.0072204843,0.007114578,0.0069636665,-0.0004222449,0.0027144272,0.0052853934,0.0044980105,0.0058333427,0.005852094,0.0062193647,0.007077221,-0.0024729911,-0.00011606142,-0.003921006,-0.0014890432,0.0071034227,0.002710186,-0.002530625,0.0023977607,-0.00036321208,-0.0021563675,0.0008852035,0.0053811856,0.0074682683,-0.0022608135,-0.0045462325,0.0072039105,0.0053786747,-0.0029395241,0.0035111066,-0.0065362435,-0.006702207,-0.0010181032,-0.000936063,-0.0073536336,-0.0072227493,-0.0068826787,-0.004743809,-0.00081209466,4.339963e-06,-0.004504189,-0.004710017,0.0026631318,-0.004037285,0.0013513789,-0.0061061326,0.0014080778,-0.0051938053,0.0056155305,0.005665485,-0.00097081997,-0.006737767,-0.0014996119,0.0034558587,0.0078032967,0.006033698,-0.0020556264,0.007507993,-0.004217025,-0.000197215,0.0017595943,-0.005549779,-0.0034194104
miRNA_2,-0.03522123,-0.16651109,-0.2400097,0.06188189,-0.27338114,0.04787339,0.095332794,0.20398419,-0.15226732,0.18949932,0.22876896,-0.26333028,-0.07276743,-0.2302757,-0.13608178,-0.22496448,0.06522122,0.23035467,-0.10931095,0.0030620224,0.14664382,0.09485742,0.13443159,-0.15364823,-0.024768142,0.14989124,-0.18893684,-0.15780707,-0.19463576,-0.21185759,0.3775972,0.002300543,-0.27386695,0.023918338,-0.45526394,0.32518226,0.1574522,-0.05933842,-0.06486143,0.08969652,0.063563325,0.28923744,-0.09516435,-0.24440938,-0.025929691,0.31570825,0.21592496,-0.22330517,-0.08000017,0.11794443,-0.13081881,0.13096142,-0.3248773,-0.13082129,-0.28615355,0.21862604,0.06747283,-0.08339309,-0.13059472,0.08855372,-0.24768777,0.04448473,-0.25970793,0.3907232,-0.21782771,0.22232495,0.031718142,0.19302824,-0.34674272,-0.22898261,0.22616325,0.2017015,-0.46902752,-0.10342898,0.009348527,0.17682838,-0.40583643,0.072609276,-0.1423149,-0.15311061,-0.12948516,-0.3727842,0.1753615,0.10702308,-0.10639263,-0.1716378,-0.14600998,0.31305635,0.3133656,0.20848104,-0.31336674,-0.039907817,0.16986357,0.0627756,0.33633584,-0.31295368,-0.034681976,-0.21773194,-0.2912456,0.1546227,-0.0881237,0.5282435,-0.0628495,0.32443154,-0.033347566,-0.082451664,-0.15847094,0.26428398,0.0023028501,-0.1478016,0.17415856,-0.10082942,0.052759804,-0.0035195833,-0.47968626,-0.18390594,0.1197896,-0.13996187,0.12400142,0.28468034,-0.03260129,0.11921717,-0.08294039,0.299471,-0.1204041,-0.009737337,0.16018665,0.20606205
miRNA_3,-0.30686685,-0.022297641,-0.021799503,-0.022045068,0.31697083,-0.15984106,0.14545643,-0.049705833,-0.20137677,-0.0005665782,0.035989493,0.0006707398,0.069958374,-0.21158496,-0.06270598,0.23959021,-0.06673307,-0.10259478,-0.3118841,0.16225277,0.018555356,-0.1201884,-0.41851106,0.047168396,-0.07270799,-0.17716897,-0.00928033,-0.117367096,0.11169311,-0.049891733,-0.055832576,-0.12808631,-0.11209663,0.023654116,-0.1846151,0.49353307,-0.07054997,-0.0028966481,-0.12833877,-0.085764796,0.20738125,0.1687589,-0.21312526,-0.17613627,0.28459588,-0.21999262,-0.03221206,-0.11913688,0.15366441,-0.15200214,0.080569886,-0.055800878,0.10840275,0.45110703,0.1152465,0.0015219307,-0.043958545,-0.16305305,0.09353283,0.14007272,0.06954977,0.26039094,0.3840204,0.008704574,-0.22598389,0.036324445,-0.12064261,0.13665663,-0.17220147,-0.39386284,0.3693101,-0.47828022,-0.19709516,-0.00390821,0.16078094,-0.29697162,-0.24133551,-0.07254285,-0.25801545,-0.22376858,-0.31294507,0.15186538,0.26884806,0.33392134,0.13835835,0.105277956,-0.013856838,-0.27520075,0.31960365,-0.051606767,-0.10634664,-0.08901621,0.147788,0.0072097834,0.12762356,-0.042095415,0.035573035,-0.01758229,-0.06739498,0.11180094,-0.037433434,0.2100186,0.020782763,0.27156863,-0.362438,-0.34238386,-0.28409,0.15891348,-0.04389079,-0.15095517,0.03315276,-0.3116881,-0.14066914,0.37851295,-0.011960814,-0.105445474,-0.13188085,-0.19431366,-0.084861405,0.012472092,-0.024897838,-0.20506588,0.22853398,-0.09920659,-0.197856,0.09351375,-0.12068436,-0.3469823
miRNA_4,-0.003565617,-0.0050896835,-0.0025672857,-0.0042713955,-0.0070641674,-0.006695317,-0.0031240769,0.00519681,-0.0014462844,0.0077705067,-0.0055795573,-0.0075771697,-0.0060864147,-0.0074256416,-0.007592447,-0.0074962135,-0.0037972126,0.005359752,-0.007412946,0.0014495663,0.004427284,0.003201792,0.0044639744,-0.0038525276,0.0057846457,0.0033094622,0.0055511463,-0.0012599137,-0.005649779,0.002575729,0.006969055,-0.00028241612,-0.00710888,-0.003784353,0.0041209254,-0.000251038,-0.0042853877,-0.006219698,-0.0012433659,-0.0043466073,0.007737709,-0.007740522,-0.00066674873,5.185604e-05,-0.001604097,-0.0015597772,-0.0003266111,-0.0009306185,-0.006738281,-0.0051554497,0.002404118,-0.006761605,-0.0056385826,0.005699454,-0.0021837223,-0.002191566,-0.0013252236,-0.0029052123,0.003153246,-0.0027573612,0.0015138295,0.0073824506,0.00010346249,0.005434649,-0.0013239495,0.00247542,0.0054068174,0.0044357236,0.00043441541,0.002920013,-0.007409187,0.0021136012,-0.0003274493,-0.0004660394,-0.005938148,0.00010246225,0.0036438778,0.004953025,0.0067082625,0.0043521505,-0.003434047,-0.005094724,0.00083707273,-0.002441015,-0.0054124,0.0016641133,-0.004545238,0.0061036013,-4.2380765e-05,0.002765013,-0.003239315,-0.0073829405,-0.0019976627,0.0034539886,0.0048975702,-0.0044061337,0.0066963807,0.0076512974,0.0076587256,-0.0012118015,0.0006735809,0.0060632788,0.0014802963,0.0061127823,-0.0039362777,0.0001924634,0.007462943,-0.0037666261,0.0046092886,-0.002328476,-0.00066910684,-0.0008669514,-0.0058622267,-0.004903445,-0.00036134757,0.0055429228,0.0065226424,0.0062108207,-0.007172184,0.0036978126,0.0075878724,0.0048381984,0.0037801396,-0.0029999875,-0.005886076,-0.0022966713,0.0040804,0.0031795818
miRNA_5,0.10430047,-0.3119941,-0.22338438,0.0933492,-0.15552779,-0.028414844,0.0077470895,-0.10291966,-0.22372007,0.031102039,0.2547588,-0.29765818,-0.16715793,-0.20176008,0.06387542,-0.01826147,-0.09504969,0.06412861,-0.003890092,-0.24302228,-0.0011632986,0.006486929,0.099659346,0.042519767,-0.19014104,0.14666322,-0.07607025,-0.18340605,-0.17900728,-0.37071818,-0.0066874116,-0.12523872,0.06231587,-0.08898891,-0.053641785,0.13356778,0.055731773,0.074144565,-0.040293906,-0.105093524,-0.017115533,0.10325064,-0.3437096,-0.17129025,-0.023968706,0.20293948,0.062096294,-0.10527702,-0.051059894,0.23989213,-0.17885457,0.1477641,0.065676115,0.105980925,-0.14005141,0.13216977,0.23917833,-0.20494515,0.02179581,-0.16607592,-0.11753234,-0.046638772,-0.036243062,0.27255526,0.10083355,-0.17831506,0.017412016,0.0781384,0.055737354,-0.18973184,-0.18004969,0.10955678,-0.08067005,-0.4288376,-0.07347004,0.17897116,-0.28406706,-0.024720535,0.030755848,-0.14219603,-0.2626423,0.057525214,0.036633715,0.21580732,0.12754446,-0.004603962,-0.1730422,0.08684485,0.016731832,0.30733067,0.041831408,-0.13971633,0.07946697,0.11301324,0.1868361,0.12704383,-0.009832771,-0.3860222,0.013336243,0.10284683,-0.23006628,0.4119236,-0.0405844,0.3657832,0.009806673,0.16133268,0.17035444,0.084159836,-0.12284834,-0.017356623,0.024492344,0.011450703,0.03715008,0.13842249,-0.44787183,0.15231283,-0.10782457,0.13396183,0.2509928,0.21706563,-0.10840807,-0.10173845,0.014993387,0.070517436,-0.2659118,0.057036232,-0.091106094,0.28101826
miRNA_6,-0.08709507,-0.3396094,0.20088115,0.0025178944,0.15358278,0.060585823,0.06315384,0.013263903,0.03238788,0.21720646,0.1544897,-0.09951784,0.0583205,0.031263255,-0.010114954,0.20699888,-0.14926833,-0.2799785,-0.30425653,-0.2462374,0.13511857,0.4158496,0.13129447,-0.032271884,0.028581122,0.038672578,-0.053873617,-0.18309474,-0.2912822,0.20387477,-0.04006204,0.11063401,0.04283969,0.15406768,0.18510786,0.033077486,0.28640595,-0.3082204,0.11815214,0.085248716,0.2568899,-0.06411255,-0.17738746,-0.11763715,0.19850637,-0.11598347,-0.120172605,-0.09416963,-0.021692228,0.20474042,0.34793147,-0.054979254,0.114868276,0.19338387,0.03693655,0.1346239,0.44706818,-0.16877568,-0.013404467,0.12175375,0.050908808,0.027516797,0.054324906,-0.15118405,0.0791886,-0.21572079,0.2573255,0.047780607,0.37566054,-0.00434964,-0.02201576,-0.17459764,-0.09668058,-0.122376785,-0.039880786,-0.025967287,0.02092845,0.02855394,0.013006702,0.07678162,-0.24305633,-0.17142798,0.2108558,0.052173764,-0.051392443,-0.030505506,-0.10423181,-0.008027058,0.2793408,0.24720162,0.45657128,-0.012893717,0.08958915,-0.2645097,0.16879198,0.0059987707,-0.11255124,-0.2439339,-0.01396365,-0.13344598,-0.09070142,0.38280293,0.23545557,0.3277919,0.017862037,-0.036641996,-0.08346345,0.13131784,-0.2573281,-0.0999839,0.09142246,-0.06478994,-0.12757629,0.05932865,-0.12624222,-0.0127105815,0.043996077,-0.019338552,0.27309623,-0.011923034,0.02689342,-0.09666647,-0.2117484,0.22621262,-0.05742932,-0.10506076,-0.030924732,-0.39742142
miRNA_7,0.12995434,-0.32487333,0.12989038,-0.18464324,0.18738,-0.3583066,0.024387952,-0.31759474,-0.13830741,0.057334498,0.18685292,-0.11341866,-0.17081863,0.044400852,0.23635252,0.2856191,-0.08488282,0.14641605,-0.0071155974,-0.048124302,0.17763925,0.12533706,0.16179496,-0.11635663,-0.04038886,-0.11248445,-0.08044068,-0.24094976,0.18356055,-0.047630005,-0.013323819,0.10415727,0.016032618,0.00971159,0.19271992,0.14286412,0.18178686,0.007819986,0.015558626,-0.055884562,0.019318033,-0.054814138,-0.38317713,0.009780435,-0.10708156,-0.20328377,0.027311413,-0.09996394,-0.13911396,0.1286239,-0.10601017,-0.067393936,-0.121626176,0.10551721,-0.09001787,-0.006883761,0.32499143,-0.12618873,-0.0851815,0.07413015,-0.09670613,-0.12689279,0.06774973,0.14852972,0.19616209,0.0021756957,0.123175256,0.06770274,0.10608554,-0.2372139,0.03513505,-0.14275108,-0.14655092,-0.006380744,0.034910623,-0.19547592,-0.26102313,-0.13264662,0.117957056,-0.18963587,-0.16766657,0.062846154,-0.04705246,0.27538398,0.2995781,0.24672739,0.061819147,-0.076377735,0.26971763,0.0890568,0.045895834,-0.07049462,0.03399481,0.047586832,0.091066904,0.03792321,-0.073800676,-0.12076444,-0.0053179716,0.090166785,0.101700366,0.08602115,-0.16538076,0.11853557,-0.048861016,-0.013020067,0.15448046,-0.065021805,-0.09306227,-0.33097842,0.0058214315,-0.11579934,0.07364168,0.19002895,-0.22834407,-0.12721944,-0.22968051,-0.23705637,0.025873324,0.073211625,-0.02051488,-0.15804805,-0.29014465,0.050022542,-0.1911852,0.06398261,0.052089144,0.16601458
miRNA_8,0.031237256,-0.0455603,-0.088140085,-0.18114746,0.20019057,-0.00960065,0.15852839,-0.1145167,-0.15230799,0.17308052,-0.0656553,-0.03326518,0.05121278,-0.11389754,0.07379504,0.110385485,-0.06748161,0.042475633,0.05478551,0.14497367,0.032495342,0.11507628,0.14220007,-0.19343704,-0.0635837,0.10856195,-0.1680496,0.07673018,-0.14389741,-0.17290504,0.07345763,0.054783538,0.031136187,0.21504693,-0.10639212,0.0019698183,0.30858865,0.03617042,0.038863335,0.021523815,0.30101442,0.14563738,0.06149207,-0.25471014,0.13888058,-0.009421245,-0.096707724,-0.12086266,-0.03404547,0.09440524,-0.20851694,-0.02240039,-0.035024893,0.10044076,0.008764678,0.048856672,0.20472671,-0.2889728,-0.1587047,-0.04650017,-0.079619646,0.101953365,0.09714496,0.09250375,-0.12294529,-0.13474053,0.0471053,0.15780774,0.104061574,-0.10986916,0.029301384,-0.064125665,-0.22265595,-0.27857095,0.17435011,0.041206077,-0.0062826294,0.11836613,0.014551658,-0.15159503,0.11307738,-0.18585005,0.09273145,0.27977398,0.037831612,0.26730388,-0.10539415,-0.13695194,0.113215335,0.10349779,0.124129966,0.17356908,-0.017226888,-0.018659657,0.08877014,-0.07001941,-0.14483659,-0.12547582,-0.20045999,-0.009515523,-0.2247729,0.08966756,0.0076274523,0.31152394,-0.00092372566,-0.108831964,-0.1965929,-0.18474637,0.12105197,-0.11628959,-0.17929856,-0.14993031,-0.15035632,-0.029802304,-0.0021808303,-0.048605677,-0.12412663,-0.0070882263,0.0564335,0.12453395,-0.30981258,0.097366296,-0.031495027,-0.0015548823,-0.08331835,-0.16068824,-0.2722834,0.11721462
miRNA_9,-0.001849249,0.0059774276,0.0021383017,-0.002471568,-0.0043992605,-0.00082587823,0.0028431993,0.005977493,-0.0050109383,0.0014158934,-0.006605342,0.0065639745,0.007429594,-0.0017713662,-0.0067652967,-0.0018224157,0.002146963,-0.006532928,-0.0026090704,-0.00029221177,-0.002415074,0.006831974,0.0031187274,-0.0032893047,0.0024904292,0.005959647,0.00325666,0.004337685,0.0067646224,0.002154272,-0.007738404,0.0025514495,0.0009778515,0.0051441398,0.0013161805,-0.001290109,-0.0030992068,0.0038836934,4.7154725e-05,0.0075188167,-0.005120065,-0.0044387,0.004356822,-0.0018624477,-0.0057003535,-0.0025289934,0.0033805016,-0.0053058434,-0.00652072,-0.0068312045,-0.0011198763,-0.0061648004,0.0010746792,-0.005709244,0.000766404,-0.0041731615,-0.0036298,0.0034246836,0.002374012,0.006966399,0.006511392,-0.0070385206,0.007225666,-0.0059516355,-0.0029967409,0.006924428,0.0044739638,-0.007258732,-0.0067669563,-0.0076483153,-0.0016229972,-0.0041691866,0.0076713692,0.007705804,0.0048055444,0.00076412037,0.005623307,-0.0050557535,-0.0014920384,0.0014382247,0.0056115147,0.003027089,-0.0056844205,-0.0066734385,0.005076289,-0.0035716668,-0.006049147,-0.003032118,0.005872933,-0.00012070499,-0.004046155,0.005824344,-6.3793734e-05,0.0043946374,-0.0034684911,0.006318338,-0.0064199753,-0.005667627,-0.005737951,0.0029168688,0.0074143484,-0.0075343773,0.0058648624,0.0005710479,0.00014176406,0.0026427414,-0.004561728,-0.0017073806,-0.00056482665,0.0024743434,0.0061831977,-0.0020547956,-0.006949192,0.0021164715,0.0040127505,-0.0044573303,0.006339811,-0.0042412616,0.0064282455,-0.0077215843,0.00029897317,-0.0037288927,-0.0075859576,-0.004555594,0.00076296367,0.007353114,0.001626689,0.0062267203
